التصنيف الرئيسي ;التصنيف الفرعي;الحقل;English_field
معلومات العقار;الموقع الجغرافي;إسم المنطقة;District_Name
;;إسم المدينة;City_Name
;;إسم الحي;Neighbourhood_Name
;;إسم الشارع ;Street_Name
;;الأحداثيات (خط الطول);Longitude
;;الأحداثيات (خط العرض);Lattitude
;تفاصيل العقار ;نوع إستخدام العقار;Using_For
;;نوع العقار ;Property_Type
;;المساحة;The_Space
;;رقم الأرض ;Land_Number
;;رقم المخطط;Plan_Number
;;عدد الوحدات ;Number_Of_Units
;;رقم الدور  ;Floor_Number
;;رقم الوحدة;Unit_Number
;;عدد الغرف ;Rooms_Number
;;نوع الغرف ;Rooms_Type
;;واجهة العقار ;Real_Estate_Facade
;;حدود وأطوال العقار;Property limits and lenghts
;;عرض الشارع ;Street_Width
;;تاريخ البناء (عمر العقار);Construction_Date
;;هل يوجد الرهن أو القيد الذي يمنع او يحد من التصرف او الانتفاع من العقار؟;Is there a mortgage or restriction that prevents or limits the use of the property
;;الحقوق والالتزامات على العقار الغير موثقة في في وثيقة العقار;Rights and obligations over real estate that are not documented in the real estate document
;;المعلومات التي قد تؤثر على العقار سواء في خفض قيمته او التأثير على قرار المستهدف بالإعلان;Information that may affect the property
;;سعر الإيجار;Rental_Price
;;سعر البيع ;Selling_Price
;;سعر متر البيع;Selling_Meter_Price
;;النزاعات القائمة على العقار;Property disputes
;تفاصيل المرافق الداخلية;مؤثث (مفروش);Furnished
;;المطبخ (خزائن المطبخ مركبة);Kitchen
;;التكيف ;Air_Condition
;;مرافق;facilities
;تفاصيل المرافق الخارجية;توافر المصاعد;Availability of elevators
;;عدد المصاعد في حال توفرها ;Number of elevators
;;توافر المواقف;Availability of Parking
;;عدد المواقف في حال توفرها;Number of parking
معلومات الإعلان;عناصر الإعلان;نوع الأعلان الرئيسي;The_main_type_of_ad
;;نوع الأعلان الفرعي;Ad_subtype
;;وصف الإعلان (نص الإعلان);Ad_description
;;تاريخ نشر الإعلان;Advertisement_publication_date
;;تاريح تحديث الإعلان ;Ad_update_date
;;تاريخ إنتهاء الإعلان;Ad_expiration
;;حالة الإعلان;Ad_status
;;عدد مشاهدات الإعلان;Ad_Views
;معلومات المعلن;جهة المعلن;Advertiser category
;;صفة المعلن;Advertiser_character
;;رقم ترخيص المعلن;
;;أسم المعلن ;Advertiser_name
;;البريد الالكتروني للمعلن;Advertiser's email
;;رقم جوال المعلن;Advertiser_mobile_number
